cleaned_comment,label,clean_text,clean_text_expanded
"ADA KOMBINASI ANTARA ADOPSI TEKNOLOGI DIGITAL DARI AS DAN KEJAHATAN EKONOMI DALAM SEGALA BENTUKNYA. JIKA INEFISIENSI DAN KORUPSI MAKIN BESAR, AS MAKIN UNTUNG KARENA TRANSAKSI KEUANGAN YG MENGGUNAKAN TEKNOLOGI DIGITAN BIKINAN AS JUGA MAKIN BESAR.",0,ada kombinasi antara adopsi teknologi digital dari as dan kejahatan ekonomi dalam segala bentuknya jika inefisiensi dan korupsi makin besar as makin untung karena transaksi keuangan yg menggunakan teknologi digitan bikinan as juga makin besar,ada kombinasi antara adopsi teknologi digital dari as dan kejahatan ekonomi dalam segala bentuknya jika inefisiensi dan korupsi makin besar as makin untung karena transaksi keuangan yang menggunakan teknologi digitan bikinan as juga makin besar
Makin gag jelas..rakyat kecil jadi korban,0,makin gag jelasrakyat kecil jadi korban,makin gag jelasrakyat kecil jadi korban
"dampak domino efisiensi thdp akomodasi hospitality yg isinya menyangkut kuliner saat ini tentunya akan membuat pasar2distribusi sayuran,sembako laukpauk yg biasanya menyediakan consume utk sarapandinner akhirnya menjadi lesu umkmcatering yg biasanya menjadi vendorpartner hotel dari luar menyediakan aneka jajanankulineran akan mandeg , bahkan sampai pasar yg biasanya disasar industri hotel utk purchase order fresh food akan banyak yg turut mangkrak produsen pasar akan turut pailit resesigulung tikar",0,dampak domino efisiensi thdp akomodasi hospitality yg isinya menyangkut kuliner saat ini tentunya akan membuat pasar2distribusi sayuransembako laukpauk yg biasanya menyediakan consume utk sarapandinner akhirnya menjadi lesu umkmcatering yg biasanya menjadi vendorpartner hotel dari luar menyediakan aneka jajanankulineran akan mandeg  bahkan sampai pasar yg biasanya disasar industri hotel utk purchase order fresh food akan banyak yg turut mangkrak produsen pasar akan turut pailit resesigulung tikar,dampak domino efisiensi thdp akomodasi hospitality yang isinya menyangkut kuliner saat ini tentunya akan membuat pasar2distribusi sayuransembako laukpauk yang biasanya menyediakan consume untuk sarapandinner akhirnya menjadi lesu umkmcatering yang biasanya menjadi vendorpartner hotel dari luar menyediakan aneka jajanankulineran akan mandeg bahkan sampai pasar yang biasanya disasar industri hotel untuk purchase order fresh food akan banyak yang turut mangkrak produsen pasar akan turut pailit resesigulung tikar
"Buktinya dolar 17rb,jelas ga efisien. PMSG terlalu berat karena setiap harga diberbagai daerah bedabeda,dan ga semua kalangan butuh PMSG. yg stunting bukan anaknya,tapi ortunya jg sama karena stress ga dapet kerjaan. belum olshop yg bikin bangkrut industri karena yg dibeli pemodal itu barang impor. Sri Mulyani bergairah soal pajak tahun lalu, padahal itu semua cuma pajakin perusahaan doang yg lagi seret tapi masih butuh kerjaan pemerintah. Dan sekarang dia nyuruh warganya bayar pajak, padahal mereka udah byr pajak. yg harus dipikirkan itu masa depan, bukan baca Twitter terus jd males karena kebanyakan informasi.",0,buktinya dolar 17rbjelas ga efisien pmsg terlalu berat karena setiap harga diberbagai daerah bedabedadan ga semua kalangan butuh pmsg yg stunting bukan anaknyatapi ortunya jg sama karena stress ga dapet kerjaan belum olshop yg bikin bangkrut industri karena yg dibeli pemodal itu barang impor sri mulyani bergairah soal pajak tahun lalu padahal itu semua cuma pajakin perusahaan doang yg lagi seret tapi masih butuh kerjaan pemerintah dan sekarang dia nyuruh warganya bayar pajak padahal mereka udah byr pajak yg harus dipikirkan itu masa depan bukan baca twitter terus jd males karena kebanyakan informasi,buktinya dolar 17rbjelas tidak efisien pmsg terlalu berat karena setiap harga diberbagai daerah bedabedadan tidak semua kalangan butuh pmsg yang stunting bukan anaknyatapi ortunya jg sama karena stress tidak dapet kerjaan belum olshop yang bikin bangkrut industri karena yang dibeli pemodal itu barang impor sri mulyani bergairah soal pajak tahun lalu padahal itu semua cuma pajakin perusahaan doang yang lagi seret tapi masih butuh kerjaan pemerintah dan sekarang dia nyuruh warganya bayar pajak padahal mereka udah byr pajak yang harus dipikirkan itu masa depan bukan baca twitter terus jd males karena kebanyakan informasi
"gaji kami dokter PTT di kab. Kupang, NTT dipotong dengan alasan efisiensi anggaran yang ditetapkan pada tanggal 27 maret 2025, pemotongan hampir 50 dengan tantangan pekerjaan sebagai berikut jarak tempat saya bekerja 3 jam PP, jalannya juga banyak yang rusak dan harus mendaki ke gunung, kami di puskesmas belum mempunyai rumah dinas, tempat saya bekerja sulit sinyal, saya dokter satusatunya di puskesmas tersebut sehingga jam kerja saya juga tidak menentu. Sudah mediasi dengan dinas kesehatan dan bapak bupati tapi tidak ada solusi dan kami di minta menerima saja gaji sesuai SK yang terbit pada tanggal 10 april 2025. Bahkan sampai detik ini kami belum menerima gaji dari bulan januari 2025.",0,gaji kami dokter ptt di kab kupang ntt dipotong dengan alasan efisiensi anggaran yang ditetapkan pada tanggal 27 maret 2025 pemotongan hampir 50 dengan tantangan pekerjaan sebagai berikut jarak tempat saya bekerja 3 jam pp jalannya juga banyak yang rusak dan harus mendaki ke gunung kami di puskesmas belum mempunyai rumah dinas tempat saya bekerja sulit sinyal saya dokter satusatunya di puskesmas tersebut sehingga jam kerja saya juga tidak menentu sudah mediasi dengan dinas kesehatan dan bapak bupati tapi tidak ada solusi dan kami di minta menerima saja gaji sesuai sk yang terbit pada tanggal 10 april 2025 bahkan sampai detik ini kami belum menerima gaji dari bulan januari 2025,gaji kami dokter ptt di kab kupang ntt dipotong dengan alasan efisiensi anggaran yang ditetapkan pada tanggal 27 maret 2025 pemotongan hampir 50 dengan tantangan pekerjaan sebagai berikut jarak tempat saya bekerja 3 jam pp jalannya juga banyak yang rusak dan harus mendaki ke gunung kami di puskesmas belum mempunyai rumah dinas tempat saya bekerja sulit sinyal saya dokter satusatunya di puskesmas tersebut sehingga jam kerja saya juga tidak menentu sudah mediasi dengan dinas kesehatan dan bapak bupati tapi tidak ada solusi dan kami di minta menerima saja gaji sesuai sk yang terbit pada tanggal 10 april 2025 bahkan sampai detik ini kami belum menerima gaji dari bulan januari 2025
Ambruk yang ada ekonomi,0,ambruk yang ada ekonomi,ambruk yang ada ekonomi
Salah dalan iki pak,0,salah dalan iki pak,salah dalan iki pak
congor munafik,0,congor munafik,congor munafik
"tukar guling yang tidak sesuai, untuk mengimplementasikan makan gratis untuk anakanak sekolah, gw masuk di list yang harus kena efisiensi dari perusahaan,. Pak kalo mau efisiensi, mohon perjelas efisiensinya harus tepat, jangan jadikan kami buruh yang gaji paspasan kena efisiensi. lihatlah pejabatpejabat BUMN, masih hangat isu BUMN Garuda yng menghire pegawai eks lion dengan gaji fantastis, gaji direksi pertamina yang 3 digit korupsi. itulah yang harus diefisiensi Pak, bukan kami jongos2 yang harus diefisiensi PHK. kebutuhan kami bukan hanya pangan, tp sandang dan papan pun kami butuhkan Pak. jangan jadikan sila kelima pancasila menjadi keadilan sosial bagi yang punya kekuasaan belum cukupkah kami harus merasakan kesengsaraan selama 2014 sd 2024 ?, apakah bapak rindu ingin bernostalgia dengan kejadian mei 1998 ?, dimana rakyat sudah jenuh dengan aturan aturan yang tidak berpihak kepada rakyat kecil,",0,tukar guling yang tidak sesuai untuk mengimplementasikan makan gratis untuk anakanak sekolah gw masuk di list yang harus kena efisiensi dari perusahaan pak kalo mau efisiensi mohon perjelas efisiensinya harus tepat jangan jadikan kami buruh yang gaji paspasan kena efisiensi lihatlah pejabatpejabat bumn masih hangat isu bumn garuda yng menghire pegawai eks lion dengan gaji fantastis gaji direksi pertamina yang 3 digit korupsi itulah yang harus diefisiensi pak bukan kami jongos2 yang harus diefisiensi phk kebutuhan kami bukan hanya pangan tp sandang dan papan pun kami butuhkan pak jangan jadikan sila kelima pancasila menjadi keadilan sosial bagi yang punya kekuasaan belum cukupkah kami harus merasakan kesengsaraan selama 2014 sd 2024  apakah bapak rindu ingin bernostalgia dengan kejadian mei 1998  dimana rakyat sudah jenuh dengan aturan aturan yang tidak berpihak kepada rakyat kecil,tukar guling yang tidak sesuai untuk mengimplementasikan makan gratis untuk anakanak sekolah gw masuk di list yang harus kena efisiensi dari perusahaan pak kalo mau efisiensi mohon perjelas efisiensinya harus tepat jangan jadikan kami buruh yang gaji paspasan kena efisiensi lihatlah pejabatpejabat bumn masih hangat isu bumn garuda yng menghire pegawai eks lion dengan gaji fantastis gaji direksi pertamina yang 3 digit korupsi itulah yang harus diefisiensi pak bukan kami jongos2 yang harus diefisiensi phk kebutuhan kami bukan hanya pangan tp sandang dan papan pun kami butuhkan pak jangan jadikan sila kelima pancasila menjadi keadilan sosial bagi yang punya kekuasaan belum cukupkah kami harus merasakan kesengsaraan selama 2014 sd 2024 apakah bapak rindu ingin bernostalgia dengan kejadian mei 1998 dimana rakyat sudah jenuh dengan aturan aturan yang tidak berpihak kepada rakyat kecil
Yg terkena dampak malah banyak phk sementara korupsi sampai hari ini ada saja,0,yg terkena dampak malah banyak phk sementara korupsi sampai hari ini ada saja,yang terkena dampak malah banyak phk sementara korupsi sampai hari ini ada saja
"Hidup pak Prabowo,100dukungan untuk presiden,nasib rakyat lebih utama penting,semoga sejahtera,apa pun keputusan presiden,SDH ijin dan kehendak tuhan,memang seharus nya,seorang pemimpin,untuk rakyat",0,hidup pak prabowo100dukungan untuk presidennasib rakyat lebih utama pentingsemoga sejahteraapa pun keputusan presidensdh ijin dan kehendak tuhanmemang seharus nyaseorang pemimpinuntuk rakyat,hidup pak prabowo100dukungan untuk presidennasib rakyat lebih utama pentingsemoga sejahteraapa pun keputusan presidensdh ijin dan kehendak tuhanmemang seharus nyaseorang pemimpinuntuk rakyat
Krbijakan tanpa di dasari rasa keadilan akan membuat kehancuran,0,krbijakan tanpa di dasari rasa keadilan akan membuat kehancuran,krbijakan tanpa di dasari rasa keadilan akan membuat kehancuran
"Peng hematan ntar ujung2 juga Ratusan triliun juga yg di korupsi, nyesal juga dulu milih omon2",0,peng hematan ntar ujung2 juga ratusan triliun juga yg di korupsi nyesal juga dulu milih omon2,peng hematan ntar ujung2 juga ratusan triliun juga yang di korupsi nyesal juga dulu milih omon2
kami guru honorer sngat trdampak akibat efesiensi .biasa dpt 400500rbbln dr kabko tetapi masa pak prabowo malah tdk dpt apa apa sedikitpun kasian sm tmn2 honorer yg lain,0,kami guru honorer sngat trdampak akibat efesiensi biasa dpt 400500rbbln dr kabko tetapi masa pak prabowo malah tdk dpt apa apa sedikitpun kasian sm tmn2 honorer yg lain,kami guru honorer sngat trdampak akibat efesiensi biasa dpt 400500rbbln dr kabko tetapi masa pak prabowo malah tdk dpt apa apa sedikitpun kasian sm tmn2 honorer yang lain
"Efesiensi anggaran merupakan tawaran Alquran dalam menghadapai Masalah ekonomi sebuah negara. Maka tahuntahun program efesiensi Anggaran Memang harus kita hadapi dengan sabar demi sebuah kemakmuran yang kita citacitakan. Kita harus dukung apa yang menjadi ketetapan pemimpin kita. Allah Subhanahu wa Ta'ala berfirman Yusuf berkata, Bercocoktanamlah kamu tujuh tahun berturutturut! Kemudian apa yang kamu tuai, biarkanlah di tangkainya, kecuali sedikit untuk kamu makan. Y suf 1247 Kemudian, sesudah itu akan datang tujuh tahun yang sangat sulit paceklik yang menghabiskan apa yang kamu simpan untuk menghadapinya, kecuali sedikit dari apa bibit gandum yang kamu simpan. Y suf 1248 Setelah itu akan datang tahun, ketika manusia diberi hujan dengan cukup dan pada masa itu mereka memeras anggur. Y suf 1249",,efesiensi anggaran merupakan tawaran alquran dalam menghadapai masalah ekonomi sebuah negara maka tahuntahun program efesiensi anggaran memang harus kita hadapi dengan sabar demi sebuah kemakmuran yang kita citacitakan kita harus dukung apa yang menjadi ketetapan pemimpin kita allah subhanahu wa taala berfirman yusuf berkata bercocoktanamlah kamu tujuh tahun berturutturut kemudian apa yang kamu tuai biarkanlah di tangkainya kecuali sedikit untuk kamu makan y suf 1247 kemudian sesudah itu akan datang tujuh tahun yang sangat sulit paceklik yang menghabiskan apa yang kamu simpan untuk menghadapinya kecuali sedikit dari apa bibit gandum yang kamu simpan y suf 1248 setelah itu akan datang tahun ketika manusia diberi hujan dengan cukup dan pada masa itu mereka memeras anggur y suf 1249,efesiensi anggaran merupakan tawaran alquran dalam menghadapai masalah ekonomi sebuah negara maka tahuntahun program efesiensi anggaran memang harus kita hadapi dengan sabar demi sebuah kemakmuran yang kita citacitakan kita harus dukung apa yang menjadi ketetapan pemimpin kita allah subhanahu wa taala berfirman yusuf berkata bercocoktanamlah kamu tujuh tahun berturutturut kemudian apa yang kamu tuai biarkanlah di tangkainya kecuali sedikit untuk kamu makan y suf 1247 kemudian sesudah itu akan datang tujuh tahun yang sangat sulit paceklik yang menghabiskan apa yang kamu simpan untuk menghadapinya kecuali sedikit dari apa bibit gandum yang kamu simpan y suf 1248 setelah itu akan datang tahun ketika manusia diberi hujan dengan cukup dan pada masa itu mereka memeras anggur y suf 1249
"Pleciden Wowo omon omon gemoy macan ompong doang tegas di panggung melempem di bawah panggung,",0,pleciden wowo omon omon gemoy macan ompong doang tegas di panggung melempem di bawah panggung,pleciden wowo omon omon gemoy macan ompong doang tegas di panggung melempem di bawah panggung
"Maaf ya tapi Makan gratis program ini juga tanpa sadar bukan hanya untuk mencegah anakanak kelaparan atau terkena penyakit kekurangan gizi melainkan ini juga bertujuan untuk SDM anakanak dengan adanya pendidikan gratis atau tidak selama makanan yang anakanak konsumsi kekurangan gizi itu sama aja keberatan sebelah jadi kalau dari pandangan saya ini lebih untuk menyeimbangkan programprogram yang sudah ada sebelumnya hingga pada saat era Pak Prabowo kini lebih ditingkatkan, kemudian perubahaan yang tibatiba membuat masyarakat cemas dan merasakan kerugian namun harapan rakyat efisiensi anggaran dan danatara dikelola dengan baik sebab jika timbul masalah yang berkepanjangan dari gagalnya setiap program akan menjadi penderitaan bagi masyarakat dan pemerintahan, contoh dari ini kita bisa lihat dampak negarif dan positifnya dari negaranegara yang sudah lebih dulu menerapkan hal ini. Jika ada salah kata atau kurangnya pemahaman saya tolong dikoreksi dan tambah ya, agar saya juga bisa belajar. Terima kasih",0,maaf ya tapi makan gratis program ini juga tanpa sadar bukan hanya untuk mencegah anakanak kelaparan atau terkena penyakit kekurangan gizi melainkan ini juga bertujuan untuk sdm anakanak dengan adanya pendidikan gratis atau tidak selama makanan yang anakanak konsumsi kekurangan gizi itu sama aja keberatan sebelah jadi kalau dari pandangan saya ini lebih untuk menyeimbangkan programprogram yang sudah ada sebelumnya hingga pada saat era pak prabowo kini lebih ditingkatkan kemudian perubahaan yang tibatiba membuat masyarakat cemas dan merasakan kerugian namun harapan rakyat efisiensi anggaran dan danatara dikelola dengan baik sebab jika timbul masalah yang berkepanjangan dari gagalnya setiap program akan menjadi penderitaan bagi masyarakat dan pemerintahan contoh dari ini kita bisa lihat dampak negarif dan positifnya dari negaranegara yang sudah lebih dulu menerapkan hal ini jika ada salah kata atau kurangnya pemahaman saya tolong dikoreksi dan tambah ya agar saya juga bisa belajar terima kasih,maaf ya tapi makan gratis program ini juga tanpa sadar bukan hanya untuk mencegah anakanak kelaparan atau terkena penyakit kekurangan gizi melainkan ini juga bertujuan untuk sdm anakanak dengan adanya pendidikan gratis atau tidak selama makanan yang anakanak konsumsi kekurangan gizi itu sama aja keberatan sebelah jadi kalau dari pandangan saya ini lebih untuk menyeimbangkan programprogram yang sudah ada sebelumnya hingga pada saat era pak prabowo kini lebih ditingkatkan kemudian perubahaan yang tibatiba membuat masyarakat cemas dan merasakan kerugian namun harapan rakyat efisiensi anggaran dan danatara dikelola dengan baik sebab jika timbul masalah yang berkepanjangan dari gagalnya setiap program akan menjadi penderitaan bagi masyarakat dan pemerintahan contoh dari ini kita bisa lihat dampak negarif dan positifnya dari negaranegara yang sudah lebih dulu menerapkan hal ini jika ada salah kata atau kurangnya pemahaman saya tolong dikoreksi dan tambah ya agar saya juga bisa belajar terima kasih
MEGARA LAIN PIKIR PENINGKATAN PRODUKTIVITAS DAN INOVASI. INDONESIA PIKIR .MAKAN GRATIS SISWA. ANEH..INDONESIA GELAP,0,megara lain pikir peningkatan produktivitas dan inovasi indonesia pikir makan gratis siswa anehindonesia gelap,megara lain pikir peningkatan produktivitas dan inovasi indonesia pikir makan gratis siswa anehindonesia gelap
SALAH SATU MOTOR PENGGERAK EKONOMI INDONESIA ADALAH KEGIATAN BERBAGAI INSTITUSI PEMERINTAH. EFISIENSI ANGGARAN DAPAT BERPENGARUHI MEGATIF TERHADAP EKONOMI,0,salah satu motor penggerak ekonomi indonesia adalah kegiatan berbagai institusi pemerintah efisiensi anggaran dapat berpengaruhi megatif terhadap ekonomi,salah satu motor penggerak ekonomi indonesia adalah kegiatan berbagai institusi pemerintah efisiensi anggaran dapat berpengaruhi megatif terhadap ekonomi
presiden dari kalangan TNI SBY BLT Tidak Tepat sasaran Prabowo MBG Masih abu abu apakah tepat sasaran. yang dibutuhkan negara LOWONGAN KERJA SEBANYAK BANYAK NYA.M,0,presiden dari kalangan tni sby blt tidak tepat sasaran prabowo mbg masih abu abu apakah tepat sasaran yang dibutuhkan negara lowongan kerja sebanyak banyak nyam,presiden dari kalangan tni sby blt tidak tepat sasaran prabowo mbg masih abu abu apakah tepat sasaran yang dibutuhkan negara lowongan kerja sebanyak banyak nyam
"saa ga punya anak pak,trussgmn dong,saya kerja dibumn taat byr pajak,gmn dong???",0,saa ga punya anak paktrussgmn dongsaya kerja dibumn taat byr pajakgmn dong,saa tidak punya anak paktrussgmn dongsaya kerja dibumn taat byr pajakgmn dong
Pintar Mbanya,0,pintar mbanya,pintar mbanya
semua ada plus minusnya,1,semua ada plus minusnya,semua ada plus minusnya
maksud pak bowo bagus tapi dampak negatif juga besar,0,maksud pak bowo bagus tapi dampak negatif juga besar,maksud pak bowo bagus tapi dampak negatif juga besar
SANGAT TEPAT EFISIENSI KRN SELAMA INI RAKYAT TDK TAU ANGGARAN SETIAP TAHUM BUAT SEMUA DAERAH RATUSAN TRILIUN DIPAKE SENANG SENANG UTK PERJALANAN DINAS..BELANJA. MAKAN MINUM ATK BEMSIN UTK PEJABAT DAN PEGAWAI..PENGADAAN MOBIL.DINAS..ASET KANTOR SUKA DIBAWA PULANG,1,sangat tepat efisiensi krn selama ini rakyat tdk tau anggaran setiap tahum buat semua daerah ratusan triliun dipake senang senang utk perjalanan dinasbelanja makan minum atk bemsin utk pejabat dan pegawaipengadaan mobildinasaset kantor suka dibawa pulang,sangat tepat efisiensi karena selama ini rakyat tdk tau anggaran setiap tahum buat semua daerah ratusan triliun dipake senang senang untuk perjalanan dinasbelanja makan minum atk bemsin untuk pejabat dan pegawaipengadaan mobildinasaset kantor suka dibawa pulang
Hasil pemangkasan anggaran di korupsi rakyat Indonesia terus miskin,0,hasil pemangkasan anggaran di korupsi rakyat indonesia terus miskin,hasil pemangkasan anggaran di korupsi rakyat indonesia terus miskin
Patch TNI lucu amat besar2 bikin apa ?,0,patch tni lucu amat besar2 bikin apa,patch tni lucu amat besar2 bikin apa
Ayo pak presiden saya mendukung kebijakan anda tentang efisiensi anggaran agar maling uang rakyat kehilangan ruang gerak,1,ayo pak presiden saya mendukung kebijakan anda tentang efisiensi anggaran agar maling uang rakyat kehilangan ruang gerak,ayo pak presiden saya mendukung kebijakan anda tentang efisiensi anggaran agar maling uang rakyat kehilangan ruang gerak
"Negeri ini saya merasakan makin hari makin mundur, banyak masalah, utang nambah, udh gitu kalangan atas malah makin senang senang klo rakyatnya makin menderita ya wajar la pd kabur keluar negeri rakyatnya",0,negeri ini saya merasakan makin hari makin mundur banyak masalah utang nambah udh gitu kalangan atas malah makin senang senang klo rakyatnya makin menderita ya wajar la pd kabur keluar negeri rakyatnya,negeri ini saya merasakan makin hari makin mundur banyak masalah utang nambah udh gitu kalangan atas malah makin senang senang klo rakyatnya makin menderita ya wajar la pd kabur keluar negeri rakyatnya
Ya ALLAH orang niat baik di kata yg kurang baik,1,ya allah orang niat baik di kata yg kurang baik,ya allah orang niat baik di kata yang kurang baik
Pemotongan Anggaran yg di pangkas apa btl utk rakyat apa nga utk kelanjutan IKN sbgi bls jasa x jokowi,0,pemotongan anggaran yg di pangkas apa btl utk rakyat apa nga utk kelanjutan ikn sbgi bls jasa x jokowi,pemotongan anggaran yang di pangkas apa btl untuk rakyat apa nga untuk kelanjutan ikn sbgi bls jasa x jokowi
emang ges satu satunya solusi yaitu tegaknya negara khilafah TEGAKKAN KHILAFAH coba kalian searching khilafah tuh seperti apa dan keuntungannya apa,0,emang ges satu satunya solusi yaitu tegaknya negara khilafah tegakkan khilafah coba kalian searching khilafah tuh seperti apa dan keuntungannya apa,emang ges satu satunya solusi yaitu tegaknya negara khilafah tegakkan khilafah coba kalian searching khilafah tuh seperti apa dan keuntungannya apa
Ya berhenti aja kamu jadi warga negara indonesia.,1,ya berhenti aja kamu jadi warga negara indonesia,ya berhenti aja kamu jadi warga negara indonesia
yg ga setuju biasa korupsi,1,yg ga setuju biasa korupsi,yang tidak setuju biasa korupsi
"Batalkan MBG Batalkan subsidi MRT,LRT,KCJB Batalkan IKN Potong gaji dari presiden sd menteri Potong gaji Anggota H ewan",0,batalkan mbg batalkan subsidi mrtlrtkcjb batalkan ikn potong gaji dari presiden sd menteri potong gaji anggota h ewan,batalkan mbg batalkan subsidi mrtlrtkcjb batalkan ikn potong gaji dari presiden sd menteri potong gaji anggota h ewan
"Masak iya pemerintah dipaksa pakai APBN untuk hire honorer yg sebenarnya tidak diperlukan? Dipaksa pakai APBN untuk menggunakan jasa hotel, agen wisata dan perjalanan dinas yg sebenarnya tidak diperlukan hanya agar bisnis mereka bisa tetap running? Apa itu memang tindakan yg tepat?",0,masak iya pemerintah dipaksa pakai apbn untuk hire honorer yg sebenarnya tidak diperlukan dipaksa pakai apbn untuk menggunakan jasa hotel agen wisata dan perjalanan dinas yg sebenarnya tidak diperlukan hanya agar bisnis mereka bisa tetap running apa itu memang tindakan yg tepat,masak iya pemerintah dipaksa pakai apbn untuk hire honorer yang sebenarnya tidak diperlukan dipaksa pakai apbn untuk menggunakan jasa hotel agen wisata dan perjalanan dinas yang sebenarnya tidak diperlukan hanya agar bisnis mereka bisa tetap running apa itu memang tindakan yang tepat
"Narasi dan komentar di medsos tentang keadaan negara jangan terlalu negatif dan pesimis. Membuat rakyat gelisah, senang, bangga kalau rakyat kalang kabut",0,narasi dan komentar di medsos tentang keadaan negara jangan terlalu negatif dan pesimis membuat rakyat gelisah senang bangga kalau rakyat kalang kabut,narasi dan komentar di medsos tentang keadaan negara jangan terlalu negatif dan pesimis membuat rakyat gelisah senang bangga kalau rakyat kalang kabut
Phk dimana2,0,phk dimana2,phk dimana2
"padahal dari efisiensi itu cuma berapa persen yang ke MBG, sisanya ke Danantara, trus Danantara ngebiayain proyek2 lagi yang jatoh ke tangan kroco kroconya dia lagi, saatnya tarik uang dari bank BUMN, pindahkan ke Swasta",0,padahal dari efisiensi itu cuma berapa persen yang ke mbg sisanya ke danantara trus danantara ngebiayain proyek2 lagi yang jatoh ke tangan kroco kroconya dia lagi saatnya tarik uang dari bank bumn pindahkan ke swasta,padahal dari efisiensi itu cuma berapa persen yang ke mbg sisanya ke danantara terus danantara ngebiayain proyek2 lagi yang jatoh ke tangan kroco kroconya dia lagi saatnya tarik uang dari bank bumn pindahkan ke swasta
